type,entry,exit,pnl_pct,realized_pnl
StopLoss,39688000.0,38973616.0,-0.018,-369820.0
StopLoss,34798000.0,34171636.0,-0.018,-368415.3496760018
StopLoss,34080000.0,33466560.0,-0.018,-367016.03449485824
StopLoss,33508000.0,32904856.0,-0.018,-365622.03419264033
Partial_TP,32964000.0,33623280.0,0.02,191955.75074551068
TrailingStop,32964000.0,33599335.0,0.019273601504671764,184805.07602376118
StopLoss,33015000.0,32420730.0,-0.018,-164515.60896258242
StopLoss,32412000.0,31828584.0,-0.018,-164234.42052889802
StopLoss,31916000.0,31341512.0,-0.018,-364341.58377705887
Partial_TP,31236000.0,31610832.0,0.012,84605.40834013373
TrailingStop,31236000.0,31436275.0,0.006411672429248303,43491.23270990513
Partial_TP,30927000.0,31321000.0,0.012739677304620558,54094.860963950865
SL_BreakEven,30927000.0,30988854.0,0.002,6628.476952006109
StopLoss,30912000.0,30355584.0,-0.018,-163625.60726911947
Partial_TP,30447000.0,30812364.0,0.012,50767.89342275541
TrailingStop,30447000.0,31064930.0,0.02029526718560121,87388.97170461528
StopLoss,30750000.0,30196500.0,-0.018,-163568.50872350857
StopLoss,29258000.0,28731356.0,-0.018,-362864.3090312928
StopLoss,28526000.0,28012532.0,-0.018,-361486.07781273127
Partial_TP,27858000.0,28415160.0,0.02,189784.32632982917
TrailingStop,27858000.0,28540375.0,0.02449475913561634,233530.26358742453
Partial_TP,28976000.0,29323712.0,0.012,50579.30549116526
SL_BreakEven,28976000.0,29033952.0,0.002,6596.344086589292
Partial_TP,28696000.0,29040352.0,0.012,50606.60238364898
SL_BreakEven,28696000.0,28753392.0,0.002,6599.904034548439
StopLoss,29391000.0,28861962.0,-0.018,-162914.86060888693
Partial_TP,28203000.0,28541436.0,0.012,50547.37102837395
TrailingStop,28203000.0,28619175.0,0.014756408892670993,62663.219157157466
Partial_TP,28466000.0,28807592.0,0.012,84339.4205170637
TrailingStop,28466000.0,28542345.0,0.002681971474741797,16000.792744429782
StopLoss,27671000.0,27172922.0,-0.018,-362160.59404332563
StopLoss,27260000.0,26769320.0,-0.018,-162353.2660537623
Partial_TP,26769000.0,27304380.0,0.02,189813.47232148238
TrailingStop,26769000.0,26849000.0,0.002988531510329112,24221.30195923336
Partial_TP,27299000.0,27626588.0,0.012,50478.79374740552
TrailingStop,27299000.0,27195000.0,-0.003809663357632148,-18918.605719960295
Partial_TP,27000000.0,27324000.0,0.012,50492.84607774019
SL_BreakEven,27000000.0,27054000.0,0.002,6585.068407041021
StopLoss,27853000.0,27351646.0,-0.018,-162548.65161939338
StopLoss,25702000.0,25239364.0,-0.018,-360601.83353229985
StopLoss,24629000.0,24185678.0,-0.018,-359232.19564817473
Partial_TP,24168000.0,24651360.0,0.02,188601.01240854338
TrailingStop,24168000.0,24556050.0,0.01605635551142006,150458.19786498323
StopLoss,24582000.0,24139524.0,-0.018,-269314.41143857874
Partial_TP,24152000.0,24635040.0,0.02,188703.8916968275
SL_BreakEven,24152000.0,24200304.0,0.002,14513.449648719281
Partial_TP,23915000.0,24201980.0,0.012,50178.76509312913
TrailingStop,23915000.0,24605300.0,0.02886472924942505,123767.43411370087
Partial_TP,25365000.0,25872300.0,0.02,189411.60439905897
TrailingStop,25365000.0,25436000.0,0.0027991326631184705,22330.28796014376
Partial_TP,25731000.0,26245620.0,0.02,189805.34818682633
TrailingStop,25731000.0,25891710.0,0.006245773580506005,55925.38811883144
Partial_TP,26440000.0,26757280.0,0.012,50493.032064330764
SL_BreakEven,26440000.0,26492880.0,0.002,6585.092662644573
StopLoss,26359000.0,25884538.0,-0.018,-270915.4172584936
Partial_TP,25955000.0,26474100.0,0.02,189825.68843705207
TrailingStop,25955000.0,26399970.0,0.017143902908880754,162022.2242879253
Partial_TP,26253000.0,26778060.0,0.02,190492.4574501086
TrailingStop,26253000.0,26496500.0,0.009275130461280616,85721.536419563
